-65.5798, 71880.0547, -46129.4297, 172.0576, 44224.8633, 250.5357, 82134.5938
-225.5756, 71918.3984, -45648.2266, 333.0481, 44038.7344, 201.3432, 81258.2266
-580.5036, 71777.8125, -45194.4336, 620.4780, 43991.4844, -262.1975, 80541.9844
-938.4039, 71648.7266, -45295.7031, 909.0126, 44376.6406, -1034.4688, 79703.7812
-3113.9055, 71449.3594, -44732.6797, 2282.9377, 44779.7734, -4015.1550, 79484.5000
-6293.1147, 70768.4688, -43484.6719, 4030.1140, 44657.8047, -8062.1206, 78546.7500
-8322.4766, 71087.0781, -43439.6016, 4981.0493, 44546.8242, -10798.3984, 78786.4141
-8850.5723, 71317.9219, -43424.0508, 5282.9033, 44326.0703, -11558.9854, 79084.9453
-10360.9473, 72102.2500, -43810.6719, 5862.3140, 44243.7656, -13569.1660, 79681.5625
-10802.1211, 72823.5547, -44390.8164, 6048.7061, 44163.5117, -14210.5156, 80577.2344
-11336.5352, 73651.4922, -45164.6992, 6106.0039, 44166.5352, -15094.1748, 80972.3047
-11627.6455, 74479.3438, -45862.6055, 6088.2148, 44182.0352, -15539.7617, 80943.7422
-11675.9932, 75960.1250, -46853.4062, 6190.7007, 43920.0195, -15593.9951, 81455.9453
-10938.6328, 77001.2188, -47079.4609, 5942.3667, 43230.0078, -14879.9180, 81857.6719
-10745.3779, 80405.7031, -48049.8984, 5991.8281, 41505.2070, -14583.7539, 83133.1406
-10940.4336, 81370.2812, -47983.5352, 6187.6240, 40642.6172, -14723.9199, 83916.1797
-10998.6133, 83859.1641, -48380.4688, 6303.7837, 39292.6797, -14834.8428, 84674.1719
-11145.6113, 84667.0312, -48360.8594, 6395.4390, 38781.1523, -15056.6553, 84836.5312
-11023.3633, 87265.2812, -48362.7070, 6398.1934, 36608.5469, -15265.0176, 85815.2031
-10995.3467, 87874.2031, -48508.4023, 6426.0488, 36159.0156, -15307.1641, 86215.3281
-11188.5908, 88100.8906, -48347.4531, 6582.9805, 35773.5156, -15610.7324, 86153.7188
-11448.6631, 87831.4297, -48322.5234, 6788.8140, 35879.7930, -15940.2734, 86015.3906
-11641.0342, 87707.3516, -48190.4492, 6935.8364, 35816.9258, -16193.2031, 85935.7422
-11518.7422, 88414.8828, -48145.2461, 6862.7383, 35263.9414, -16096.5449, 86031.3438
-11368.7451, 88640.5547, -48057.0195, 6732.4170, 35151.8516, -15919.4287, 86403.2266
-11282.0840, 88458.0234, -47628.4844, 6659.6270, 35086.0938, -15752.6064, 86653.0469
-10953.4473, 88384.5859, -47212.9414, 6449.8052, 34827.5625, -15281.2598, 86375.0625
-10617.7842, 89372.4062, -47202.7930, 6283.0259, 34192.9531, -14910.9404, 87469.3984
-10309.1191, 91533.2500, -47739.2852, 6176.1025, 32953.6641, -14669.7129, 88485.7734
-10098.0703, 92387.1953, -47930.0391, 6076.5903, 32403.2012, -14460.9980, 88885.2188
-9999.0801, 92786.4062, -47814.5078, 6064.7061, 31969.6172, -14398.5176, 88981.0234
-10089.8711, 93483.8750, -47814.6484, 6187.7632, 31404.8887, -14650.6670, 88443.4062
-10090.1025, 93672.9844, -47384.7734, 6239.5049, 30827.7969, -14733.7236, 86808.6250
-10146.3945, 93945.9766, -47009.4414, 6349.7290, 30149.1602, -14999.0664, 85438.2969
-10242.2051, 94281.9297, -46372.2930, 6607.4038, 29113.2188, -15395.4326, 77656.8906
-10094.3398, 94932.9219, -45739.7188, 6839.8589, 27811.1211, -15610.9453, 67587.0156
-10151.0869, 95438.9062, -45383.5625, 7178.7769, 26695.0605, -15973.3145, 58059.4805
-10161.0420, 95506.0781, -45475.2891, 7230.6421, 26609.5078, -16043.9863, 56170.6133
-10226.5820, 95528.3047, -45588.6992, 7329.0132, 26466.6484, -16218.5117, 53368.6562
-10394.3105, 95633.2578, -46042.7109, 7479.3721, 26386.5176, -16592.5566, 49776.4609
-10575.8516, 95330.8125, -46539.8281, 7541.0537, 26593.6035, -16799.5410, 46789.3359
-10713.7627, 95120.9297, -46906.0195, 7600.7988, 26761.9551, -16973.2422, 45459.2969
-10849.2090, 94732.4688, -47125.1367, 7648.9727, 27135.3867, -17125.0625, 45229.3438
